No. de Solicitud;Tipo de Servicio;Acceso;Sexo;Oficina;Fecha de entrada;Tiempo de Respuesta;Fecha de respuesta;Condicion;Estatus 
CEHICA-0013-2020;ANÁLISIS DE CALIDAD DE AGUA;PRESENCIAL;M;Sede Central;19/2/2020;5;24/2/2020;OPTIMO;PROCESADO
CEHICA-0014-2020;ANÁLISIS DE CALIDAD DE AGUA; PRESENCIAL;M;Sede Central;24-25/2/20;7;2/3/2020;OPTIMO;PROCESADO
CEHICA-0015-2020;ANÁLISIS DE CALIDAD DE AGUA;PRESENCIAL;M;Sede Central;7/3/2020;2;9/3/2020;OPTIMO;PROCESADO
CEHICA-0016-2020;ANÁLISIS DE CALIDAD DE AGUA;PRESENCIAL;M;Sede Central;7/3/2020;2;9/3/2020;OPTIMO;PROCESADO
CEHICA-0017-2020;ANÁLISIS DE CALIDAD DE AGUA;PRESENCIAL;M;Sede Central;7/3/2020;2;9/3/2020;OPTIMO;PROCESADO
CEHICA-0018-2020;ANÁLISIS DE CALIDAD DE AGUA;PRESENCIAL;M;Sede Central;7/3/2020;2;9/3/2020;OPTIMO;PROCESADO
CEHICA-0019-2020;ANÁLISIS DE CALIDAD DE AGUA;PRESENCIAL;F;Sede Central;15/6/2020;6;21/7/2020;OPTIMO;PROCESADO
CEHICA-0020-2020;ANÁLISIS DE CALIDAD DE AGUA;PRESENCIAL;M;Sede Central;12/7/2020;5;19/6/2020;OPTIMO;PROCESADO
CEHICA-0021-2020;ANÁLISIS DE CALIDAD DE AGUA;PRESENCIAL;M;Sede Central;21/7/2020;3;24/7/2020;OPTIMO;PROCESADO
CEHICA-0022-2020;ANÁLISIS DE CALIDAD DE AGUA;PRESENCIAL;M ;Sede Central;10/9/2020;1;11/9/2020;OPTIMO;PROCESADO
CEHICA-0023-2020;ANÁLISIS DE CALIDAD DE AGUA;PRESENCIAL;M;Sede Central;10/9/2020;9;19/9/2020;OPTIMO;PROCESADO
CEHICA-0024-2020;ANÁLISIS DE CALIDAD DE AGUA;PRESENCIAL;M;Sede Central;10/9/2020;8;18/9/2020;OPTIMO;PROCESADO
CEHICA-0025-2020;ANÁLISIS DE CALIDAD DE AGUA;PRESENCIAL;M;Sede Central;10/9/2020;4;14/9/2020;OPTIMO;PROCESADO
CEHICA-0026-2020;ANÁLISIS DE CALIDAD DE AGUA;PRESENCIAL;F;Sede Central;26/10/2020;2;28/10/2020;OPTIMO;PROCESADO
CEHICA-0027-2020;ANÁLISIS DE CALIDAD DE AGUA;PRESENCIAL;M;Sede Central;29/10/2020;4;2/11/2020;OPTIMO;PROCESADO
CEHICA-0028-2020;ANÁLISIS DE CALIDAD DE AGUA;PRESENCIAL;M ;Sede Central;12/11/2020;2;14/11/2020;OPTIMO;PROCESADO
