ANO,MES,PAIS,PROVINCIA,PLANTA,CANT. MUESTRA,INDICE_POTABILIDAD_(%),CLORO_RESIDUAL_(Mg/l)
2018,DICIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,30,"98,00","1,20"
2018,DICIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,29,"95,00","1,20"
2018,DICIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,30,"93,00","1,10"
2018,DICIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,2,"100,00","1,20"
2018,DICIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ II,2,"100,00","1,10"
2019,ENERO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,37,"92,40","1,10"
2019,ENERO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,33,"98,80","1,30"
2019,ENERO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,33,"99,40","1,20"
2019,ENERO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,3,"100,00","1,00"
2019,ENERO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ II,3,"100,00","0,70"
2019,FEBRERO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,43,"99,50","1,40"
2019,FEBRERO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,38,"100,00","1,30"
2019,FEBRERO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,39,"100,00","1,30"
2019,FEBRERO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,3,"100,00","1,20"
2019,FEBRERO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ II,3,"100,00","0,70"
2019,MARZO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,36,"97,80","1,10"
