ANO,MES,PAIS,PROVINCIA,MUNICIPIO,PLANTA,CANTIDAD_(Millones M3)
2018,AGOSTO,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA 10 MGD,"0,96"
2018,AGOSTO,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA 25 MGD,"1,76"
2018,AGOSTO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,PLANTA VILLA GONZALEZ,"0,14"
2018,AGOSTO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,PLANTA VILLA GONZALEZ II,"0,06"
2018,SEPTIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,SAN JOSE DE LAS MATAS,SAJOMA,"0,03"
2018,SEPTIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA LA BARRANQUITA,"0,03"
2018,SEPTIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA NORIEGA,"7,28"
2018,SEPTIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA NORIEGA II,"1,80"
2018,SEPTIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA 10 MGD,"0,93"
2018,SEPTIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA 25 MGD,"1,59"
2018,SEPTIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,PLANTA VILLA GONZALEZ,"0,14"
2018,SEPTIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,PLANTA VILLA GONZALEZ II,"0,07"
2018,OCTUBRE,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA LA BARRANQUITA,"0,04"
2018,OCTUBRE,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA NORIEGA,"8,17"
2018,OCTUBRE,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA NORIEGA II,"1,79"
2018,OCTUBRE,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA 10 MGD,"0,91"
2018,OCTUBRE,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA 25 MGD,"1,58"
2018,OCTUBRE,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,PLANTA VILLA GONZALEZ,"0,14"
2018,OCTUBRE,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,PLANTA VILLA GONZALEZ II,"0,07"
2018,NOVIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA LA BARRANQUITA,"0,04"
2018,NOVIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA NORIEGA,"8,23"
2018,NOVIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA NORIEGA II,"2,10"
2018,NOVIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA 10 MGD,"0,96"
2018,NOVIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA 25 MGD,"1,49"
2018,NOVIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,PLANTA VILLA GONZALEZ,"0,14"
